"N","nrep_ok","err.perc","phi11.m","phi22.m","phi12.m","k1.m","k2.m","phi11.bias","phi22.bias","phi12.bias","k1.bias","k2.bias","phi11.rbias","phi22.rbias","phi12.rbias","k1.rbias","k2.rbias","phi11.rmse","phi22.rmse","phi12.rmse","k1.rmse","k2.rmse","phi11.cov","phi22.cov","phi12.cov","k1.cov","k2.cov","phi11.power","phi22.power","phi12.power","k1.power","k2.power","chisq.m","df.m","pvalue.chi.m","cfi.m","tli.m","rmsea.m","srmr.m","chisq.sd","cfi.sd","tli.sd","rmsea.sd","srmr.sd","chisq.reject","model","rho","source_file"
200,1995,0.0025,1.00524988570085,0.199614968948251,0.099051754116254,1.00380116981295,0.499668945492321,0.00524988570085206,-0.000385031051748552,-0.000948245883745991,1.00380116981295,-0.000331054507678987,0.00524988570085206,-0.00192515525874276,-0.00948245883745991,NA,-0.000662109015357974,0.207248289137254,0.0376279823410329,0.064411645431792,1.00837021877227,0.0416533327357154,0.945864661654135,0.94937343358396,0.952380952380952,0,0.945363408521303,1,1,0.329824561403509,1,1,10.1544894859191,10,0.492130642126801,0.995587068402992,0.999725972017531,0.0189510378231728,0.0388584555301454,4.63488795105859,0.00740717466091776,0.0109099722407985,0.0242760234588753,0.011566776510809,0.0581453634085213,"composite",0,"job01_composite_N200_rho.RData"
200,2000,0,1.14159727859677,0.219307802259572,0.0601863471144043,1.00189620115957,0.500696131035852,0.141597278596772,0.0193078022595716,-0.0398136528855957,1.00189620115957,0.000696131035852184,0.141597278596772,0.0965390112978578,-0.398136528855957,NA,0.00139226207170437,0.252380238528692,0.0438237031483797,0.0776227623367645,1.00692431165664,0.0422016483492262,0.929,0.9295,0.9275,0,0.9475,1,1,0.163,1,1,11.7992313013745,10,0.393328705476175,0.993706202933549,0.996195467772299,0.0268015568978317,0.0388177600055289,5.05572577024015,0.00852077000640549,0.0109662391759407,0.0272369162300811,0.0110781740577476,0.104,"composite",0.1,"job02_composite_N200_rho.RData"
500,2000,0,1.00084787195683,0.199465127803077,0.0995772558354057,1.00090310310573,0.499558743011824,0.00084787195682856,-0.000534872196922787,-0.000422744164594314,1.00090310310573,-0.000441256988175896,0.00084787195682856,-0.00267436098461393,-0.00422744164594314,NA,-0.000882513976351793,0.134312882104531,0.0238242057200708,0.0425481973983038,1.00277339178115,0.0260062572830946,0.9405,0.9495,0.9435,0,0.944,1,1,0.66,1,1,10.1791471386936,10,0.492147836024711,0.99823095980111,0.999839869254607,0.0117102208695601,0.0246098790291214,4.59611084307306,0.00302221973479542,0.00432322202276815,0.0155075618435431,0.00717266699312852,0.0585,"composite",0,"job03_composite_N500_rho.RData"
500,2000,0,1.14246682123632,0.219947025471625,0.0593752172311218,0.999896417122486,0.50020169573373,0.142466821236319,0.0199470254716249,-0.0406247827688782,0.999896417122486,0.000201695733730295,0.142466821236319,0.0997351273581246,-0.406247827688782,NA,0.00040339146746059,0.196993681094493,0.0314322830524468,0.059280438221631,1.00189076913126,0.027134858548408,0.831,0.886,0.845,0,0.944,1,1,0.301,1,1,14.3906162873731,10,0.278160643215952,0.995647826442288,0.996184794403367,0.0251273750718994,0.0257138573172285,6.07362377347877,0.0046760587005299,0.0052885467414898,0.0192365782984969,0.00695637696219049,0.2365,"composite",0.1,"job04_composite_N500_rho.RData"
800,2000,0,0.995189405984112,0.200090590749492,0.0998714367813343,0.99913097704589,0.500641359091471,-0.00481059401588812,9.05907494923767e-05,-0.000128563218665754,0.99913097704589,0.000641359091470949,-0.00481059401588812,0.000452953747461883,-0.00128563218665753,NA,0.0012827181829419,0.105663969225612,0.0189183494862023,0.0326083223098654,1.00028842177358,0.0203212544904911,0.9405,0.95,0.957,0,0.962,1,1,0.846,1,1,10.059958793743,10,0.495671114853526,0.998943964787598,0.99997700787958,0.00918070472755201,0.0192229477974638,4.49278537489123,0.00176869144893941,0.0026347251567914,0.0119297247070896,0.00550264251734459,0.05,"composite",0,"job05_composite_N800_rho.RData"
800,2000,0,1.14382582763837,0.220270839165885,0.058290625799391,1.00009410223586,0.500138511865479,0.14382582763837,0.0202708391658855,-0.041709374200609,1.00009410223586,0.000138511865478482,0.14382582763837,0.101354195829427,-0.41709374200609,NA,0.000277023730956965,0.178391459912192,0.0275924257929547,0.0541215207542385,1.00124427962022,0.0208114606550385,0.7425,0.846,0.773,0,0.9465,1,1,0.4125,1,1,16.9838346404679,10,0.189034488682363,0.996036281730161,0.996211954141011,0.0259449466092312,0.021373138446703,6.78992350021323,0.00344388268348449,0.00368195826997846,0.0154866491493397,0.0054948092923729,0.381,"composite",0.1,"job06_composite_N800_rho.RData"
200,730,0.635,0.972889202341747,0.190927916622993,0.111821298518538,-0.000730478261881226,0.500696943273697,-0.0271107976582529,-0.0090720833770066,0.011821298518538,-0.000730478261881226,0.000696943273697404,-0.0271107976582529,-0.045360416885033,0.11821298518538,NA,0.00139388654739481,0.224262994734353,0.0410061374561558,0.0671225561183314,0.125628910407858,0.0468481742951934,0.946575342465753,0.941095890410959,0.956164383561644,0.945205479452055,0.950684931506849,1,1,0.372602739726027,0.0547945205479452,1,323.92972775169,307,0.314866335023132,0.981581828914731,0.98533361935227,0.0147729877077362,0.0637212636927786,25.5317775827309,0.0183138733251943,0.0225565516026056,0.0108390736257147,0.00434165661032873,0.168493150684932,"latent",0,"job07_latent_N200_rho.RData"
200,822,0.589,0.963746958494122,0.189573565265619,0.116807179310226,0.00263696142645987,0.50150811873081,-0.0362530415058782,-0.0104264347343812,0.0168071793102259,0.00263696142645987,0.00150811873080953,-0.0362530415058782,-0.0521321736719058,0.168071793102259,NA,0.00301623746161907,0.233396615802867,0.0451465567921321,0.0700173651478744,0.136227782284264,0.0489589477960063,0.934306569343066,0.924574209245742,0.957420924574209,0.939172749391727,0.951338199513382,0.997566909975669,1,0.403892944038929,0.0608272506082725,1,322.237565760109,307,0.339001807868108,0.983429435562136,0.987622931172213,0.0138963317296152,0.0630580399415726,26.5970672545984,0.0176594928875429,0.0221363988312211,0.0112921975104464,0.00434848993113624,0.154501216545012,"latent",0.1,"job08_latent_N200_rho.RData"
500,1387,0.3065,0.990676096117722,0.196780017916241,0.105159706913764,-0.00183800249812068,0.499524693155633,-0.00932390388227828,-0.0032199820837588,0.00515970691376392,-0.00183800249812068,-0.000475306844367298,-0.00932390388227828,-0.016099910418794,0.0515970691376392,NA,-0.000950613688734595,0.146638867615684,0.0256832815381783,0.0425194744280392,0.0806475352158818,0.0303769128796859,0.94592645998558,0.949531362653208,0.95097332372026,0.953857245854362,0.945205479452055,1,1,0.69069935111752,0.0461427541456381,1,313.941541430797,307,0.421443476675121,0.994990454505719,0.997576782873978,0.00677690823471053,0.0401187661920391,25.4593908884804,0.00639109511650394,0.00907829133441856,0.00663246827852109,0.00268488686006571,0.0857966834895458,"latent",0,"job09_latent_N500_rho.RData"
500,1414,0.293,0.984331514723277,0.197316891003322,0.106570144715166,0.00049372178910446,0.501273262434638,-0.0156684852767226,-0.00268310899667844,0.00657014471516633,0.00049372178910446,0.00127326243463787,-0.0156684852767226,-0.0134155449833922,0.0657014471516633,NA,0.00254652486927573,0.149129188915448,0.0266913257543735,0.0442777129386418,0.0830037164449838,0.0312278092652645,0.949080622347949,0.942715700141443,0.954031117397454,0.947666195190948,0.933521923620934,1,1,0.67963224893918,0.0523338048090523,1,313.801304063389,307,0.423040572805956,0.995221395684559,0.997757818765135,0.0068438757929265,0.0397690258491718,25.8646484298692,0.00604497690358938,0.00868702204475649,0.00664163027000496,0.00260841948082433,0.0785007072135785,"latent",0.1,"job10_latent_N500_rho.RData"
800,1691,0.1545,0.992447529324766,0.199197772057065,0.101972034827566,-0.00391295887724475,0.501254238742225,-0.0075524706752344,-0.000802227942935164,0.00197203482756596,-0.00391295887724475,0.00125423874222478,-0.0075524706752344,-0.00401113971467582,0.0197203482756596,NA,0.00250847748444955,0.111445003017194,0.0204854909354687,0.0329753392501893,0.0641119582631063,0.0227241583017332,0.950325251330574,0.950916617386162,0.956238911886458,0.953282081608516,0.960378474275577,1,1,0.850384387936132,0.0467179183914843,1,310.60674045362,307,0.460559929426525,0.997258098827671,0.999227440664318,0.00474152904010782,0.0316407582085729,25.5621300506916,0.00377766222121724,0.00570322997533498,0.0051713063938235,0.00216151289573805,0.0691898285038439,"latent",0,"job11_latent_N800_rho.RData"
800,1752,0.124,0.994718464121385,0.199066617263236,0.102068491318049,0.000186597392095318,0.500285994450141,-0.00528153587861537,-0.000933382736764278,0.00206849131804949,0.000186597392095318,0.000285994450140873,-0.00528153587861537,-0.00466691368382139,0.0206849131804949,NA,0.000571988900281746,0.118606424328455,0.0205242145066078,0.0358143406023192,0.0668107067431839,0.0238563100888213,0.94634703196347,0.960616438356164,0.940639269406393,0.948059360730594,0.947488584474886,1,1,0.822488584474886,0.0519406392694064,1,310.736555882463,307,0.458181813242675,0.997335513225932,0.999233936881593,0.00487873371382968,0.0314105598489654,26.087242671051,0.00359694417295003,0.00549520114539367,0.00517178803239907,0.00213833264144768,0.0736301369863014,"latent",0.1,"job12_latent_N800_rho.RData"
